"I have limited programming background in computer science, what should I do?",Come talk to us during office hours or email the professor or TAs to set up a meeting. Ryan tries to find a way to accommodate every student.,,,,,,,,,,,,,,,,,,,,,,,,
What should I do if I have a technical question or a question of general interest for the class?,You are highly recommended to post it on the discussion forum.,,,,,,,,,,,,,,,,,,,,,,,,
What happens if I submit my assignment after the deadline?,Please contact the professor and explain why your assignment is/will be late.,,,,,,,,,,,,,,,,,,,,,,,,
What is the policy for late assignments?,"The professor intends to be more flexible than usual on extensions, but please contact the professor and explain why your assignment is/will be late.",,,,,,,,,,,,,,,,,,,,,,,,
What is a creative assignment?,"In creative assignments, you will be given a prompt and expected to use all the knowledge learned from basic assignments to complete the project independently.",,,,,,,,,,,,,,,,,,,,,,,,
How many assignments are required?,Six basic assignments and three creative assignments. ,,,,,,,,,,,,,,,,,,,,,,,,
How many basic assignments are required?,Please choose 6 out of 8 to complete: 3 from the first 4 (e.g. Basic Homework 1-4) and 3 from the second 4 (e.g. Basic Homework 5-8),,,,,,,,,,,,,,,,,,,,,,,,
Where do I submit the assignments?,Please submit all assignments on the discussion forum: http://educ.jeepytee.net/,,,,,,,,,,,,,,,,,,,,,,,,
How many creative assignments are required?,Please choose 3 out of 4 assigned creative homework.,,,,,,,,,,,,,,,,,,,,,,,,
What happens if I do more basic assignments?,Extra assignments will receive feedback but not be graded or replace higher graded ones.,,,,,,,,,,,,,,,,,,,,,,,,
What happens if I do more creative assignments?,Extra assignments will receive feedback but not be graded or replace higher graded ones.,,,,,,,,,,,,,,,,,,,,,,,,
What is the attendance policy for the course?,"Attendance is not mandatory, but active participation is encouraged for a better learning experience.",,,,,,,,,,,,,,,,,,,,,,,,
What is the expected classroom behavior?,Participate actively by asking questions and contributing comments during in-person classes.,,,,,,,,,,,,,,,,,,,,,,,,
What is required asynchronous activities?,Complete creative assignments and provide substantive comments on at least four other students' submissions within five days to count towards your grade.,,,,,,,,,,,,,,,,,,,,,,,,
What are the grading criteria?,"6 of 8 Basic Assignments (up to 36%), 3 of 4 Creative Assignments (up to 39%), Asynchronous participation (up to 24%), and 1 bonus point.",,,,,,,,,,,,,,,,,,,,,,,,
When is the midterm?,"No, there are no exams in this course.",,,,,,,,,,,,,,,,,,,,,,,,
When is the final exam?,"No, there are no exams in this course.",,,,,,,,,,,,,,,,,,,,,,,,
Is there a tentative exam schedule?,"No, there are no exams in this course.",,,,,,,,,,,,,,,,,,,,,,,,
What is the bonus for creative assignments?,The best hand-in for each creative assignment receives a special bonus of 20%.,,,,,,,,,,,,,,,,,,,,,,,,
Can AI be used for homework assistance?,"Yes, you can use any of the foundation models, but please acknowledge their use in your hand-ins.",,,,,,,,,,,,,,,,,,,,,,,,
Can I get an extension for the assignments?,"Contact the professor for extensions, but please be reasonable.",,,,,,,,,,,,,,,,,,,,,,,,
What is the course mask policy?,Please wear a mask during class if possible.,,,,,,,,,,,,,,,,,,,,,,,,
What is the policy on academic dishonesty?,Plagiarism or improper citation is not tolerated and follows the university's policy on academic dishonesty.,,,,,,,,,,,,,,,,,,,,,,,,
Is there a disability accommodation statement?,Please email Ryan to set up a meeting so we can best accommodate you.,,,,,,,,,,,,,,,,,,,,,,,,
Is there a makeup policy for missed exams or assignments?,Extensions will be given as needed within reasonable circumstances.,,,,,,,,,,,,,,,,,,,,,,,,
Are there any opportunities of earning extra credit?,The best hand-in for each creative assignment receives a special bonus of 20%. There are no other extra credit opportunities.,,,,,,,,,,,,,,,,,,,,,,,,
Is there a group project?,"No, there is no group project in this course.",,,,,,,,,,,,,,,,,,,,,,,,
When are assignments made available?,Assignments for the course are accessible from the start and can be accessed through the course webpage: https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Do we have a class on labor day?,"No, there's no class on Labor Day on September 4, 2023. Please refer to the academic calendar - https://almanac.upenn.edu/penn-academic-calendar",,,,,,,,,,,,,,,,,,,,,,,,
What is the deadline to drop this course?,Drop period for courses ends on October 9. Please refer to the academic calendar - https://almanac.upenn.edu/penn-academic-calendar,,,,,,,,,,,,,,,,,,,,,,,,
When is the fall break?,The fall break is from October 12-15. Please refer to the academic calendar - https://almanac.upenn.edu/penn-academic-calendar,,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Basic Assignment 1?,Basic Assignment 1: Classifier,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 1 due date?,"1159pm, September 18, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Creative Assignment 1?,Creative Assignment 1: Behavior Detection,,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 1 due date?,"1159pm, September 25, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 1 response post due date?,"1159pm, September 28, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Basic Assignment 2?,Basic Assignment 2: Diagnostic Metrics,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 2 due date?,"1159pm, October 2, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Creative Assignment 2?,Creative Assignment 2: Feature Engineering,,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 2 due date?,"1159pm, October 9, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 2 response post due date?,"1159pm, October 12, USA Eastern time",What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?,What is the Creative Assignment 1 response post due date?
What is the name of the Basic Assignment 3?,Basic Assignment 3: Social Network Analysis,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 3 due date?,"1159pm, October 16, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Basic Assignment 4?,Basic Assignment 4: Bayesian Knowledge Tracing,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 4 due date?,"1159pm, October 23, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Basic Assignment 5?,Basic Assignment 5: Performance Factors Analysis,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 5 due date?,"1159pm, October 30, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Basic Assignment 6?,Basic Assignment 6: Sequential Pattern Mining / Association Rule Mining,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 6 due date?,"1159pm, November 13, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Basic Assignment 7?,Basic Assignment 7: Clustering,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 7 due date?,"1159pm, November 20, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Creative Assignment 3?,Creative Assignment 3: Knowledge Structure,,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 3 due date?,"1159pm, December 1, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 3 response post due date?,"1159pm, December 4, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Basic Assignment 8?,Basic Assignment 8: Correlation Mining,,,,,,,,,,,,,,,,,,,,,,,,
What is the Basic Assignment 8 due date?,"1159pm, December 8, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Creative Assignment 4?,Creative Assignment 4: Prompt Engineering,,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 4 due date?,"1159pm, December 15, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
What is the Creative Assignment 3 response post due date?,"1159pm, December 18, USA Eastern time",,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the syllabus?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the assignment due dates?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the assignment requirements?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the datasets for each assignment?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the course schedule?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the slides?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the assigned readings for each calss?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the topic for each class?,Please refer to: https://learninganalytics.upenn.edu/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 1?,Introduction,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 1 take place?,August 31,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 1 scheduled?,September 5,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 1?,No,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 2?,Prediction Modeling and Algorithmic Bias,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 2 take place?,September 7,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 2 scheduled?,September 12,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 2?,No,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 3?,Behavior and Affect Detection,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 3 take place?,September 14,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 3 scheduled?,September 19,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 3?,Basic: Classifier,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 4?,Diagnostic Metrics,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 4 take place?,September 21,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 4 scheduled?,September 26,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 4?,Creative: Behavior Detection,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 5?,Feature Engineering and Tweaking Towards Optimality,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 5 take place?,September 28,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 5 scheduled?,October 3,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 5?,Basic: Diagnostic Metrics,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 6?,Network Analysis,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 6 take place?,October 5,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 6 scheduled?,October 10,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 6?,Creative: Feature Engineering,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 7?,Bayesian Knowledge Tracing,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 7 take place?,October 12,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 7 scheduled?,October 17,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 7?,Basic: SNA,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 8?,Logistic Knowledge Tracing,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 8 take place?,October 19,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 8 scheduled?,October 24,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 8?,Basic: BKT,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 9?,Deep Knowledge Tracing,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 9 take place?,October 26,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 9 scheduled?,October 31,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 9?,Basic: PFA,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 10?,Association Rule Mining and Sequential Pattern Mining,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 10 take place?,November 2,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 10 scheduled?,November 7,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 10?,No,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 11?,Clustering,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 11 take place?,November 9,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 11 scheduled?,November 14,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 11?,Basic: Sequential Pattern Mining,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 12?,Knowledge Structure Discovery,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 12 take place?,November 16,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 12 scheduled?,November 21,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 12?,Basic: Clustering,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 13?,Correlation Mining,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 13 take place?,November 28,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 13 scheduled?,November 30,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 13?,Creative: Knowledge Structure,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 14?,Prompt Engineering,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 14 take place?,December 5,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 14 scheduled?,December 7,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 14?,Basic: Correlation Mining,,,,,,,,,,,,,,,,,,,,,,,,
What is the topic of Class 15?,Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,,
When will the in-person section of Class 15 take place?,December 12,,,,,,,,,,,,,,,,,,,,,,,,
When is the virtual section of Class 15 scheduled?,December 14,,,,,,,,,,,,,,,,,,,,,,,,
Are there any assignments due before Class 15?,Creative: Prompt Engineering,,,,,,,,,,,,,,,,,,,,,,,,
What is the definition of each variable in assignment dataset?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
Where is the description of each assignment?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
What are the knowledge components associated with each assignment?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the codebook or documentation for the assignment dataset?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
What are the goals for each assignment?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the source or origin of the assignment dataset?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
How can I earn a bonus for each creative assignment?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
Where is the prompt for each creative assignment?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
Which programming language should I use for each assignment?,"For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
How can I set up a virtual meeting with Ryan?,Please email penn.learninganalytics@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
What types of questions should I post on the discussion forum?,All questions that could be of interest to other students,,,,,,,,,,,,,,,,,,,,,,,,
Is this a statistics class?,This is not a statistics class but EDM methods will be compared to statistics throughout the class.,,,,,,,,,,,,,,,,,,,,,,,,
How many sections does this class have?,This class has 2 sections.,,,,,,,,,,,,,,,,,,,,,,,,
Which section should I attend?,"You can attend either of the two sections, it is up to you.",,,,,,,,,,,,,,,,,,,,,,,,
What are the times of the sections?,"Thursday, 9:45-11:45 am (in-person) / Tuesdays, 6:00-8:00 pm",,,,,,,,,,,,,,,,,,,,,,,,
How can I join the Google classroom?,Please see https://learninganalytics.upenn.edu/ryanbaker/EDM2023/assignments.html,,,,,,,,,,,,,,,,,,,,,,,,
How can I join the ASSISTments classroom?,Please see https://learninganalytics.upenn.edu/ryanbaker/EDM2023/assignments.html,,,,,,,,,,,,,,,,,,,,,,,,
What is the class code to join Google Classroom?,23qujvq,,,,,,,,,,,,,,,,,,,,,,,,
What is the enrollment code for ASSISTments class?,ey98jq,,,,,,,,,,,,,,,,,,,,,,,,
Will there be a tutorial on statistics?,"Yes, Ryan will offer a special session: An Inappropriately Brief Introduction to Frequentist Statistics",,,,,,,,,,,,,,,,,,,,,,,,
When is the special statistics session?,Ryan will post a poll to schedule this on the discussion forum,,,,,,,,,,,,,,,,,,,,,,,,
What should I do if I have questions?,"You could post to the discussion forum, come to the offcie hours, or contact us.",,,,,,,,,,,,,,,,,,,,,,,,
What is Jeepytee?,Jeepytee is a LLM-powered TA. It is not just basic GPT-4; we have done some pre-training.,,,,,,,,,,,,,,,,,,,,,,,,
What can Jeepytee do? ,Jeepytee will answer some of your questions when Ryan and the TAs aren't available.,,,,,,,,,,,,,,,,,,,,,,,,
What should I do if I have signed up for the course but have not received an email from Ryan?,Please email Ryan.,,,,,,,,,,,,,,,,,,,,,,,,
What should I do if I want to enroll in this course?,Please email Ryan.,,,,,,,,,,,,,,,,,,,,,,,,
What should I do if I have not signed up for this course?,"If you would like to enroll, please email Ryan.",,,,,,,,,,,,,,,,,,,,,,,,
Will the class schedule change? ,Only if any schedule changes happen due to unforeseen circumstances. Online schedule will be kept up-to-date,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find Jeepytee?,Jeepytee can be found on the course discussion forum at http://educ6191-f23.jeepytee.net/.,,,,,,,,,,,,,,,,,,,,,,,,
Will there be any research involving Jeepytee?,"Yes! Ryan and colleagues will be conducting a study on Jeepytee, which they will invite you to join",,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the course discussion forum?,Key communication tool for this class,,,,,,,,,,,,,,,,,,,,,,,,
What can I do on the discussion forum? ,"Hand in assignments, comment on other students' assignments, and dicuss the readings and videos",,,,,,,,,,,,,,,,,,,,,,,,
What is Rachel's email?,xiner@upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
What is Tanvi's email?,guptanvi@seas.upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
What is Rachel Liu's email?,xiner@upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
What is Tanvi Gupta's email,guptanvi@seas.upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
Who is Ryan?, Ryan is a professor at Penn. You can find more information about him on his webpage: https://learninganalytics.upenn.edu/ryanbaker/.,,,,,,,,,,,,,,,,,,,,,,,,
